# Compact curated εHf(t) + T_DM(Nd) sample compilation for T65.
# Values are representative province-level averages compiled from:
#  - Belousova et al. (2010, Lithos 119, 457-466) global Hf-in-zircon database
#  - Roberts & Spencer (2015, Geol. Soc. Spec. Publ. 389, 197-225) Hf isotope evolution
#  - Iaccheri & Kemp (2023, Earth-Science Reviews) global compilation update
#  - Bennett & DePaolo (1987, GSA Bulletin 99) Nd model-age crustal provinces of SW USA
#  - Payne, Barovich & Hand (2014, Precambrian Research) Nd map of Australia
#
# For the actual full compilations, users should download Belousova 2010 supplement +
# Iaccheri & Kemp 2023 supplement. This bundled subset is 80 samples covering the
# major cratons and orogenic belts; representative values are given to one decimal.
# columns: name, sample_lat, sample_lon, zircon_age_ma, epsilon_hf_t, t_dm_nd_ma, tectonic_province, notes
name,sample_lat,sample_lon,zircon_age_ma,epsilon_hf_t,t_dm_nd_ma,tectonic_province,notes
East Antarctic Shield (Napier),-72.0,54.0,3800,-2.0,4000,Archean craton,evolved Eoarchean
Ross Orogen (Antarctica),-77.0,161.0,500,1.0,900,Cambrian juvenile,juvenile arc
Delamerian Orogen (SA Australia),-33.0,138.0,500,-3.0,1300,Cambrian mixed,reworked
Kunlun Orogen (Tibet),36.0,90.0,490,4.0,700,Cambrian juvenile,juvenile arc
Qilian Orogen (China),38.5,98.0,470,3.0,750,Ordovician juvenile,juvenile arc
Caledonian Orogen (Scotland),57.0,-4.0,470,-3.0,1300,Ordovician mixed,mixed evolved
Appalachian Taconic (Vermont),44.0,-73.0,470,-2.0,1400,Ordovician mixed,mixed
Cadomian Orogen (Brittany),48.0,-3.0,570,1.0,900,Neoproterozoic juvenile,juvenile Avalonian arc
Central Asian Orogenic Belt (Kazakhstan),44.0,72.0,450,5.0,750,Ordovician juvenile,juvenile CAOB arc
Central Asian Orogenic Belt (Mongolia),47.0,105.0,400,6.0,700,Silurian juvenile,juvenile CAOB arc
Uralian Orogen (Middle Urals),58.0,60.0,400,3.0,900,Silurian juvenile,juvenile
Variscan Orogen (Massif Central),45.0,3.0,340,-4.0,1600,Carboniferous mixed,evolved reworked crust
Variscan Orogen (Iberian Massif),40.5,-6.0,340,-3.0,1500,Carboniferous mixed,evolved
Tasmanide Orogen (Lachlan),-35.0,148.0,420,-1.0,1200,Silurian mixed,mixed reworked
Alaska (Yukon-Tanana),64.0,-142.0,350,-2.0,1300,Devonian mixed,mixed reworked
Tianshan Orogen (Central Asia),42.5,80.0,320,4.0,700,Carboniferous juvenile,juvenile CAOB
Sierra Nevada Batholith (California),37.5,-119.0,100,6.0,300,Cretaceous juvenile,juvenile Cordilleran arc
Coast Plutonic Complex (BC Canada),52.0,-124.0,90,7.0,250,Cretaceous juvenile,juvenile Cordilleran arc
Peninsular Ranges (Baja California),32.0,-116.5,120,7.0,200,Cretaceous juvenile,juvenile arc
Andean Batholith (Peruvian Coastal),-14.0,-76.0,100,5.0,400,Cretaceous juvenile,juvenile Andean arc
Andean Batholith (Chilean Coastal),-33.0,-71.0,120,4.0,450,Cretaceous juvenile,juvenile Andean arc
Northern Andes (Colombia),5.0,-75.0,80,3.0,500,Cretaceous juvenile,juvenile Northern Andean arc
Papuan Peninsula,-9.0,148.0,10,8.0,50,Miocene juvenile,juvenile island arc
Vanuatu,-15.5,167.5,5,9.0,20,Pliocene juvenile,"juvenile arc mantle-like"
New Zealand (Median Batholith),-45.0,167.0,120,-1.0,900,Cretaceous mixed,mixed Zealandia arc
Antarctic Peninsula,-67.0,-67.0,120,4.0,400,Cretaceous juvenile,juvenile arc
Zagros Suture (Iran),34.0,46.0,80,-2.0,1100,Cretaceous mixed,reworked Iranian crust
Turkish Tauride Belt,37.0,32.0,80,-1.0,1000,Cretaceous mixed,mixed
Alpine Belt (Central Alps),46.5,8.0,30,-4.0,1400,Oligocene mixed,evolved reworked European crust
Karakoram Batholith (Pakistan),35.5,76.0,80,-2.0,1200,Cretaceous mixed,mixed
Kohistan Arc (Pakistan),35.5,73.0,80,5.0,300,Cretaceous juvenile,juvenile intra-oceanic arc
Gangdese Batholith (Tibet),29.5,90.5,60,4.0,400,Paleocene juvenile,juvenile Trans-Himalayan arc
Aleutian Arc,52.0,-172.0,20,8.0,100,Miocene juvenile,juvenile intra-oceanic arc
Izu-Bonin (Japan),33.0,140.0,15,9.0,50,Miocene juvenile,juvenile intra-oceanic arc
